,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,
900,-3.15E-05,4.54E-06,-5.43E-05,-1.96E-05,-4.48E-05,-1.10E-05,-3.39E-05,-3.54E-05,-2.75E-05,-4.46E-05,1.18E-05,-6.17E-07,-8.25E-05,-3.25E-05,-1.54E-06,-8.74E-06,-3.08E-05,1.08E-05,4.11E-05,-3.45E-05,1.01E-05
905,-0.046869447,-0.001128849,-0.011805903,0.095087046,-0.011726676,0.00122407,-0.085363842,-0.011700745,4.29E-04,-0.01173123,-0.095222432,0.001336003,-0.296340604,-0.156924089,0.005625397,0.062686429,-0.139569601,0.072094195,2.345268649,-0.146465242,0.05557486
910,-0.055651517,-0.137074042,-0.223425954,-0.005492608,-0.223344826,0.137165234,0.057084966,-0.223781239,0.136333582,-0.223364633,0.005465103,0.137147345,-6.353852554,-0.621105566,-0.188036962,-0.105518813,-0.642382394,0.087010359,0.621223971,-0.635980452,0.125651113
915,9.752333041,-0.480140141,-0.210702115,-0.248281517,-0.420215062,0.319023592,-0.194280108,-0.427090672,0.309352651,-0.420235549,0.248206371,0.319055413,-1.039576761,-0.774716351,-0.592844074,-0.399396964,-0.972582009,0.05630382,0.152531658,-0.941638974,0.247260224
920,9.396389199,-1.454174503,0.992981092,-0.636991608,-1.750531205,0.038602613,-1.26990026,-1.746960872,-0.111795952,-1.750513616,0.637068466,0.038545265,-0.411984188,-0.165724745,-0.801765513,-0.481367525,-0.696580791,-0.418393766,-0.048450932,-0.791174223,-0.163148687
925,11.02422458,0.439887054,0.685830931,0.997243305,-0.847877661,-0.16588879,-0.38044081,-0.786186414,-0.366014444,-0.847896205,-0.997172787,-0.165979852,-4.669883342,-0.56315184,0.38328315,0.747896558,0.051837903,0.680662098,-0.250776673,0.264518245,0.637219277
930,1.569452219,-1.632577085,-0.480655294,1.87982101,1.642974729,0.194889695,1.472073722,1.475937008,0.740180267,1.642930754,-1.879447249,0.194754797,0.153999582,-1.470710844,2.19070119,0.950328766,2.092475137,1.632373597,-2.77700503,2.269708639,1.343748736
935,1.003636142,-3.257823468,-1.661555081,1.150384528,3.464329593,1.107761771,2.279053137,3.287581553,1.499096244,3.46433727,-1.150663342,1.107350602,-2.955718702,-1.623229884,-1.316496972,-0.109594268,-1.320727297,1.597680308,-0.35085587,-1.912339267,1.025192533
940,-2.110107924,-1.261991838,-1.486618524,-2.141309475,1.499040635,1.251177405,1.239469778,1.74754478,0.828811885,1.498920579,2.141267566,1.251409697,-1.769566754,-0.6585901,-1.882258004,-2.320029442,-1.847134306,0.729391519,2.418022925,-1.937378416,0.451543729
945,-1.303211666,1.008931308,0.025367559,-1.31892803,-0.994585863,0.126754005,1.598887374,-0.652555359,0.699080488,-0.994615853,1.318855445,0.12682961,0.5929884,-0.054936841,-0.545109534,-1.302946222,-0.544121007,-0.032195042,1.207405464,-0.497872006,0.224823284
950,-0.420115087,0.351593473,0.210617515,-0.412977338,-0.378567924,-0.156503237,-0.117566735,-0.345857623,0.186937322,-0.37854402,0.412940053,-0.156540906,0.556232661,0.134751713,-0.294510371,-0.380156105,-0.254547892,-0.205528308,0.471026408,-0.32060755,0.012342455
955,-0.016956463,0.187984302,0.097736553,-0.009883829,-0.20097194,-0.069134641,-0.354997221,-0.174728415,0.111467374,-0.200968629,0.009839169,-0.069185574,-0.07486395,-9.99E-04,-0.20590712,0.002674911,-0.194693374,-0.067341783,0.013207273,-0.186063446,0.09397007
960,0.194401333,0.14132518,0.091889937,0.197998441,-0.154696461,-0.070478928,-0.465033252,-0.156494004,0.061461046,-0.154696838,-0.198021415,-0.070485948,-0.398508559,0.007122235,-0.118299038,0.207172375,-0.112116578,-0.038581836,-0.203785764,-0.109493778,0.04731109
965,0.323299728,0.14387041,0.099359612,0.325322939,-0.158722529,-0.077230247,-0.636055727,-0.171694449,0.038207375,-0.158718186,-0.325337344,-0.077218874,-0.684787312,0.012180309,-0.08447529,0.333783898,-0.082054657,-0.023393385,-0.355215278,-0.080033029,0.030134535
970,0.010785717,0.309316736,0.172379874,0.008000331,-0.332772633,-0.122913447,-0.557552053,-0.348127774,0.066436119,-0.332767068,-0.008004026,-0.122909875,-0.203347997,0.116737328,-0.132543744,0.030274775,-0.130241731,-0.118970994,-0.031158523,-0.173582597,-0.032058191
975,-0.08545759,0.46999072,0.228796152,-0.088389344,-0.500091219,-0.152776366,-0.674997462,-0.516008158,0.08268954,-0.500083362,0.088390051,-0.152803988,-0.086395792,0.168113628,-0.194652244,-0.052422622,-0.194365982,-0.168347358,0.060580076,-0.254304556,-0.038320832
980,-0.201291937,0.679119647,0.322455208,-0.205393958,-0.721131316,-0.211989231,-0.728557066,-0.74975548,0.049342476,-0.721140353,0.20539843,-0.212072866,-0.114122671,0.261378168,-0.217374633,-0.138759625,-0.21823534,-0.260478026,0.478150297,-0.325441627,-0.097298487
985,-0.207295775,0.7019058,0.322431221,-0.210331131,-0.743552402,-0.208002724,-0.735522711,-0.771922519,-0.002178178,-0.743543546,0.210332024,-0.20804199,-0.12067997,0.26859592,-0.158644816,-0.124247092,-0.158803189,-0.26847381,0.0892879,-0.285926534,-0.124174621
990,-0.072077332,-0.143965154,0.007978833,-0.069557063,0.141060661,-0.031273016,0.158730834,0.123398005,-0.077744656,0.141063546,0.069522827,-0.031308711,-0.094457146,0.056124114,0.23722457,-0.052258099,0.237415232,-0.055031876,0.024796403,0.151397312,-0.190358646
995,-0.033494225,-0.003678974,0.112614247,-0.032018762,-0.014166848,-0.11278899,0.058966763,-0.053963723,-0.101481056,-0.014142663,0.032006467,-0.112798663,0.009258777,0.116611515,0.198581027,0.015433835,0.198810428,-0.116493973,0.111823141,0.078523936,-0.216603853
1000,-0.20767584,0.225929962,0.182025384,-0.208485513,-0.251627146,-0.144933094,-0.148794634,-0.288590959,-0.034834154,-0.251613197,0.208489058,-0.144977341,-0.128318952,0.219670473,0.075469701,-0.127436379,0.075555682,-0.219653651,0.152105456,-0.092540415,-0.213433572
1005,-0.054348966,-0.103630371,0.025993447,-0.051744315,0.098061322,-0.042435479,1.831164951,0.071847784,-0.078878167,0.098072387,0.051832887,-0.042454892,-0.024742481,0.06248332,-0.040793078,-0.024583302,-0.040742239,-0.062468411,0.107014515,-0.073420217,-0.016171493
1010,-0.24155249,0.14909544,-0.075907947,-0.24140357,-0.134928448,0.097659034,-0.373869842,-0.023620413,0.161065484,-0.134905153,0.241294357,0.097341922,-0.474937806,0.029023513,-0.085091198,-0.258141451,-0.084734824,-0.028842141,0.361122319,-0.080690606,0.040560107
1015,-0.059284225,0.012589285,-0.02144175,-0.056322802,-0.008993056,0.022282621,-0.28649089,0.00895927,0.020517391,-0.008990511,0.056403128,0.022410383,-0.053018224,0.007668385,-0.011752149,-0.060457101,-0.011757122,-0.007527041,-0.086313254,-0.013429488,0.005048368
1020,-0.238691342,0.025310732,-0.118619129,-0.238122813,-0.005867891,0.120649151,-1.66564815,0.074201031,0.093930459,-0.005913052,0.238143626,0.120763857,-0.264214564,0.008649197,-0.006887468,-0.266948947,-0.006845233,-0.008664008,0.817781616,-0.01124181,4.69E-04
1025,0.029856756,0.001045136,0.020522735,0.032146282,-0.004362768,-0.020846134,1.597128828,-0.016564643,-0.013769676,-0.00437401,-0.032215276,-0.020696959,0.03873599,0.002497314,-0.005714356,0.038218041,-0.005761206,-0.002573991,-0.002161123,-0.005423147,0.003404521
1030,-0.599159946,0.050388763,-0.316984815,-0.603026049,0.001363209,0.321316313,-0.00306444,0.271575842,0.170779323,0.001289857,0.603122671,0.321274244,-0.683345765,0.013357454,0.002561923,-0.683325803,0.002591993,-0.013339477,0.460488617,-0.010319394,-0.009437345
1035,-0.451039786,0.037446022,-0.23550057,-0.450236415,9.21E-04,0.237880047,0.270653345,0.218010783,0.094887974,8.92E-04,0.450312755,0.237839494,-0.504574223,0.011604719,0.001261401,-0.50921457,0.001293256,-0.011581569,0.171059885,-0.010791914,-0.004777859
1040,-0.623351952,0.13189635,-0.3041481,-0.625960401,-0.081200473,0.321097323,-1.440732415,0.280340101,0.178276152,-0.081044165,0.625924098,0.320312599,-0.701050714,0.026439466,0.109182056,-0.701958189,0.109747757,-0.026360582,0.324241429,-0.002893928,-0.112697637
1045,-0.178476913,0.006360647,-0.078805712,-0.175547273,0.006398288,0.077904439,-0.139288887,0.070388695,0.033678535,0.006366892,0.175526466,0.077982244,-0.138637566,0.018390024,0.005389477,-0.191218835,0.005217495,-0.01841608,0.297602941,-0.018222616,-0.006076501
1050,0.021577305,0.011455417,0.01307899,0.024423773,-0.013449185,-0.011827446,3.532580206,-0.014672249,0.010648345,-0.013454655,-0.024280532,-0.011778032,0.034284482,-0.001632349,-0.005969235,0.026624595,-0.006057961,0.001601028,0.010030856,0.001432779,0.006184493
1055,-0.458411491,0.12749301,-0.007916315,-0.460547995,-0.124332089,0.027585047,-1.099920662,0.032464395,0.124127494,-0.124380578,0.46045716,0.027650891,-0.410245628,0.208923266,0.327822686,-0.411253338,0.327725287,-0.208943588,-0.379431066,-0.207966967,-0.328388599
1060,-0.034789487,0.024868933,-0.110489942,-0.031412585,-0.006874143,0.112896966,-0.17765244,0.111887845,0.011610741,-0.006888345,0.031537329,0.112864232,-0.330043813,-0.074993622,-0.009238931,-0.088391331,-0.008741805,0.075061621,-0.083767225,0.075013435,0.008737398
1065,0.027435439,0.042297852,-0.149398521,0.030918091,-0.017823954,0.153911236,-0.932840267,0.143537987,0.05774405,-0.017856055,-0.030921104,0.154000809,-0.522853945,-0.143872675,-0.021802231,-0.059941419,-0.014806185,0.144748031,-0.075017166,0.14473171,0.014617538
1070,0.28145424,0.036473778,-0.035486908,0.284998789,-0.030438543,0.040302502,2.78016444,0.035210549,0.03722033,-0.030433846,-0.284938867,0.040304634,-0.355558073,-0.189356007,-0.034152784,0.213944478,-0.009213151,0.192169838,0.211721038,0.192160282,0.009171129
1075,-0.22460325,0.052199385,-0.099539745,-0.22924015,-0.035366901,0.106614129,-1.483134521,0.113071617,0.014777455,-0.035269166,0.229310145,0.106569989,-0.120768795,0.027726156,0.065101906,-0.249717296,0.058781144,-0.041460861,-0.032991225,-0.040339832,-0.058602566
1080,-0.014844529,-0.002673053,0.015537505,-0.014555449,1.09E-04,-0.016143018,-1.105454752,-0.015755029,2.33E-04,9.32E-05,0.014605381,-0.015998987,0.058061445,0.02179859,-4.19E-04,-0.003233223,-0.004652764,-0.021235973,0.02858709,-0.021324613,0.00493787
1085,-0.070014559,0.017808511,-0.130753115,-0.068128888,0.003488926,0.131717918,-0.913442553,0.127836639,0.032696953,0.003456149,0.068105608,0.131741013,-0.371327423,-0.071560057,0.003891596,-0.131070609,0.018860617,0.069248185,-0.13561122,0.069280994,-0.018942333
1090,0.182833594,0.03234486,-0.06889548,0.185866665,-0.020886567,0.072842349,2.080642199,0.068541032,0.033036101,-0.020888747,-0.185752376,0.07281291,-0.392623015,-0.165818633,-0.022601106,0.110190917,0.021208608,0.166003484,0.109477108,0.166015416,-0.021263644
1095,0.105935897,-0.002869393,0.120990848,0.106335153,-0.016813909,-0.120581697,1.616990137,-0.117065302,0.029395621,-0.016806403,-0.106208356,-0.120467315,0.298896871,0.043805954,-0.019144859,0.156040725,-0.031448594,-0.035766499,0.136977083,-0.036727944,0.030884895
1100,-0.107850924,2.51E-04,-0.071170807,-0.107879825,0.011276095,0.070355849,-0.591464436,0.067558414,-0.02321842,0.011246721,0.107902157,0.070503698,-0.14500586,0.001863496,0.01239995,-0.129007628,0.011448715,-0.005382633,-0.053221553,-0.005454012,-0.011071184
1105,-0.187533234,0.149190502,-0.26083567,-0.188352009,-0.105070448,0.281970068,-0.807257493,0.287852402,0.090337852,-0.104999173,0.188546267,0.281939969,-10.31782412,-0.248466738,0.096845342,-0.317716635,0.238162619,0.119303599,-0.305000667,0.119429747,-0.237629427
1110,-0.377020728,-0.149679575,-0.486895991,-0.378409308,0.226503507,0.457068798,-0.12335068,0.455933196,-0.228799819,0.226427822,0.378295213,0.457142012,-0.479512424,-0.25823645,-0.058898714,-0.575674109,0.219404934,0.143403041,-0.56839892,0.143621678,-0.219397515
1115,0.071296838,-0.060496138,0.071967383,0.075412242,0.047970447,-0.083023359,-0.081160525,-0.086812449,-0.043676395,0.047991834,-0.075413065,-0.083090736,0.157012713,-0.136120643,0.079456631,0.109959195,0.156953801,-0.022919771,0.059759548,-0.0253745,-0.156348129
1120,-0.087106664,-0.096352726,0.002802629,-0.08613736,0.094628475,-0.018654998,-0.016177258,-0.020296897,-0.095241703,0.094612881,0.085926038,-0.018985638,-0.03992372,-0.14711265,0.136981506,-0.054569447,0.18970035,-0.068332114,-0.069368775,-0.069210577,-0.189579929
1125,-0.054251029,-0.182678964,0.225932974,-0.053430911,0.143665968,-0.253057027,-0.279659863,-0.2517504,-0.146169617,0.143681859,0.053354567,-0.253071454,0.128552407,-0.356841556,0.401666796,0.123796503,0.48719172,-0.227036857,0.111193807,-0.227463998,-0.486935933
1130,-0.107994079,-0.196655358,0.151984606,-0.106992718,0.169441356,-0.18203137,-0.053750425,-0.181177498,-0.170601373,0.169444479,0.107038549,-0.182014997,0.046767608,-0.351469534,0.377163622,0.045473794,0.47255253,-0.20626145,0.028573002,-0.207009792,-0.472194526
1135,-0.081261367,-0.20743058,0.211984235,-0.080361784,0.170306911,-0.242888667,-0.52015019,-0.245724225,-0.166068475,0.170302872,0.080136751,-0.242937271,0.122547202,-0.493695654,0.458843824,0.122338931,0.635522972,-0.224315754,0.141342276,-0.224436429,-0.635507435
1140,-0.049504291,-0.367102578,0.180214211,-0.047880836,0.332980269,-0.237330517,0.897516273,-0.238154773,-0.332430514,0.332974907,0.047929933,-0.237274025,0.147175838,-0.262421916,0.321198861,0.14955421,0.368492105,-0.190188971,0.176190343,-0.190286428,-0.368478962
1145,0.312234446,-0.065142299,0.138692828,0.315727674,0.041734048,-0.147156583,1.152572488,-0.152786277,-0.013311911,0.041639501,-0.315653058,-0.146821557,0.314375737,-0.018905825,-0.15303381,0.315208891,-0.043576316,0.147918865,0.245872358,0.147514185,0.045256006
1150,0.058596886,0.009456367,0.028007217,0.058389939,-0.013900907,-0.025773357,-0.957640304,-0.02281588,0.020059218,-0.013843353,-0.058243824,-0.025879826,0.0572992,-0.019939178,-0.021504216,0.057375263,0.009755922,0.027674832,-0.012552438,0.027968597,-0.008213724
1155,-0.24040037,-0.024619288,-0.108102403,-0.242099938,0.041908586,0.103056131,-0.378206141,0.100105867,-0.047939871,0.041938714,0.242255103,0.103099813,-0.236257012,0.082294633,0.092210503,-0.235977211,-0.038874749,-0.1173762,0.026708996,-0.118563879,0.0360246
1160,-0.160006703,-0.019691192,-0.072970081,-0.159413899,0.03133495,0.06884568,-0.286349464,0.068084006,-0.031989984,0.031341845,0.159347668,0.068939669,-0.155820317,0.055543984,0.06016016,-0.155351829,-0.027064038,-0.077394426,-0.072752266,-0.077754706,0.026858819
1165,-0.004801505,6.10E-04,-0.002088742,-0.003314596,-2.83E-04,0.001939102,0.007126315,0.001631116,6.42E-04,-2.39E-04,0.00343824,0.001938803,-0.004017514,6.02E-04,0.001417124,-0.003878961,-7.55E-06,-0.0015347,0.016641023,-0.001553893,2.54E-04
1170,0.003961524,4.65E-04,0.001299521,0.004907184,-6.91E-04,-0.001296663,0.002384966,-0.001398628,8.75E-04,-6.73E-04,-0.004837051,-0.001302386,0.003974316,-6.30E-04,-0.002727586,0.004020529,-5.16E-04,0.002759078,0.006371699,0.002744981,6.04E-04
1175,0.002046544,1.67E-04,8.38E-04,0.002771496,-3.14E-04,-8.30E-04,6.58E-04,-8.58E-04,3.81E-04,-3.08E-04,-0.002747934,-8.32E-04,0.002456576,-3.11E-04,-0.001532152,0.002376869,-3.26E-04,0.001530127,0.002148172,0.001523871,3.54E-04
1180,2.68E-04,-1.63E-05,3.37E-04,9.30E-04,-4.57E-05,-3.44E-04,1.10E-04,-3.50E-04,6.36E-05,-4.47E-05,-9.27E-04,-3.42E-04,1.00E-03,-1.30E-04,-4.76E-04,8.51E-04,-7.05E-05,4.86E-04,6.35E-04,4.84E-04,7.89E-05
1185,1.91E-04,-3.69E-05,3.23E-04,8.42E-04,-2.00E-05,-3.28E-04,-7.88E-05,-3.23E-04,2.45E-05,-2.06E-05,-8.44E-04,-3.25E-04,9.49E-04,-1.00E-04,-4.41E-04,7.92E-04,-8.36E-05,4.41E-04,2.15E-04,4.39E-04,8.48E-05
1190,1.69E-04,-4.37E-05,3.18E-04,8.16E-04,-1.05E-05,-3.22E-04,-1.34E-04,-3.14E-04,1.11E-05,-1.16E-05,-8.20E-04,-3.19E-04,9.23E-04,-9.13E-05,-4.31E-04,7.74E-04,-8.73E-05,4.28E-04,8.28E-05,4.26E-04,8.63E-05
1195,1.52E-04,-4.59E-05,3.11E-04,7.98E-04,-6.26E-06,-3.15E-04,-1.50E-04,-3.07E-04,5.86E-06,-7.41E-06,-8.02E-04,-3.13E-04,8.95E-04,-8.57E-05,-4.22E-04,7.58E-04,-8.90E-05,4.18E-04,3.81E-05,4.16E-04,8.72E-05
1200,7.17E-05,-4.63E-05,2.84E-04,7.19E-04,-5.87E-07,-2.88E-04,-1.69E-04,-2.79E-04,-1.39E-06,-1.87E-06,-7.23E-04,-2.87E-04,8.14E-04,-6.47E-05,-3.85E-04,6.89E-04,-9.34E-05,3.76E-04,-4.63E-06,3.74E-04,9.10E-05
1205,-0.076753708,-0.057242086,-0.09971801,-0.077082254,0.072842179,0.089418343,0.069900451,0.087806983,-0.074583785,0.072787355,0.077147828,0.089935521,6.662323659,0.128356828,-0.174925616,-0.11936044,-0.217509636,0.001187008,-0.095424984,7.15E-04,0.217661867
1210,-0.143142967,0.033659896,0.053320182,-0.144496724,-0.04196377,-0.047477946,-0.193045342,-0.046865273,0.042790934,-0.041930941,0.144654284,-0.047639171,-0.335982755,0.1369017,0.02744999,-0.062160705,-0.030429404,-0.139368977,0.524704413,-0.138541395,0.033287885
1215,-0.235911185,-0.026654178,-0.088108512,-0.236464292,0.040763422,0.082630039,0.050272197,0.080606984,-0.04472467,0.040758492,0.236463197,0.082669517,-0.093031541,0.102933645,0.056498622,-0.220742117,0.008055911,-0.118389243,-0.689036566,-0.118576632,-0.002673894
1220,-0.146260715,-0.015082187,-0.056961362,-0.145001491,0.02422217,0.053537933,0.041664022,0.050869105,-0.029361875,0.024236216,0.144968323,0.053450733,-0.044092896,0.06276268,0.030196562,-0.137589157,0.002936529,-0.069990785,-0.182392323,-0.069979965,-0.002957764
1225,0.150709631,-0.001201915,0.066075288,0.153608212,-0.009717433,-0.065883519,-0.045666051,-0.06483167,0.015973407,-0.009697221,-0.153509187,-0.066158137,0.004296078,-0.071326608,-0.003981912,0.153242681,0.025292251,0.066858727,0.870222902,0.065996558,-0.028033539
1230,-0.052349583,-0.005746964,-0.021119079,-0.052425491,0.009161191,0.02011906,0.012883361,0.019421333,-0.011078527,0.00910907,0.052291194,0.020286833,-0.011381519,0.02203384,0.009726669,-0.050467173,-2.80E-04,-0.024175356,2.200633796,-0.023397314,0.006475252
1235,-0.191337804,-0.015346591,-0.079937664,-0.19168334,0.02829803,0.076485519,0.057883597,0.072959177,-0.036512098,0.02829017,0.191630868,0.076506991,-0.01872088,0.086989847,0.020073197,-0.18661582,-0.016024176,-0.087832066,-0.235187998,-0.067915792,0.058091345
1240,-0.554483922,-0.049632663,-0.240521057,-0.556531616,0.08847444,0.229561005,0.273793226,0.21096473,-0.125591796,0.088563872,0.556621466,0.229568024,-0.121226617,0.229848046,0.083086118,-0.55051001,0.00324724,-0.244377323,-2.484156079,-0.222634753,0.100630997
1245,-0.418889737,-0.110729354,-0.160983468,-0.418481834,0.135655429,0.140470707,0.471718138,0.098030255,-0.169613344,0.135638908,0.418487019,0.140615162,-7.71E-04,0.213401068,-0.013666799,-0.393513482,-0.074886136,-0.200263565,-1.7650665,-0.194068663,0.086140909
1250,0.061785393,0.00240005,0.031656515,0.065773847,-0.007637684,-0.031487464,1.413226107,-0.025150194,0.021154545,-0.007675133,-0.065635882,-0.031639958,0.026656816,-0.022400691,-0.009734471,0.068612747,-0.002697315,0.023953992,0.053974459,0.022804003,0.002828036
1255,0.016973018,3.19E-04,0.007029836,0.01807898,-0.001495796,-0.006947599,-0.549101223,-0.004966734,0.005007838,-0.00150667,-0.018125344,-0.007017184,0.00507975,-0.007606669,-0.002426898,0.017886041,-2.58E-05,0.007938724,1.667975243,0.007412536,-0.001776663
1260,8.45E-03,-2.26E-01,5.59E-03,2.88E-01,1.12E-01,-5.27E-01,8.98E-02,6.32E-02,6.37E-02,-3.47E-01,2.35E-01,-2.10E-01,0.00498138,1.62E-01,5.40E-01,2.91E-01,-4.27E-01,4.43E-01,-4.36E-02,2.81E-03,3.60E-01
655,-2.21E-04,2.84E-06,-7.03E-06,1.50E-04,-3.63E-06,-2.52E-05,-1.89E-05,5.50E-06,-3.43E-05,-3.74E-06,-1.48E-04,-3.27E-05,-4.80E-04,-5.32E-05,2.27E-05,1.48E-04,-4.99E-05,2.70E-05,-2.16E-05,-5.36E-05,5.16E-06
660,-2.79E-04,1.29E-05,-8.61E-06,1.51E-04,6.89E-06,-2.54E-05,-1.49E-05,1.50E-05,-2.93E-05,6.80E-06,-1.49E-04,-3.21E-05,-4.72E-04,-5.17E-05,2.24E-05,1.49E-04,-4.80E-05,2.84E-05,-1.75E-05,-5.23E-05,7.68E-06
665,-2.94E-04,1.72E-05,-1.12E-05,1.48E-04,1.16E-05,-2.57E-05,-1.46E-05,1.91E-05,-2.60E-05,1.16E-05,-1.47E-04,-3.14E-05,-4.63E-04,-5.26E-05,2.17E-05,1.47E-04,-4.88E-05,2.89E-05,-1.50E-05,-5.34E-05,8.83E-06
670,-2.97E-04,1.95E-05,-1.38E-05,1.45E-04,1.43E-05,-2.60E-05,-1.54E-05,2.13E-05,-2.39E-05,1.42E-05,-1.44E-04,-3.12E-05,-4.55E-04,-5.36E-05,2.12E-05,1.44E-04,-4.97E-05,2.90E-05,-1.42E-05,-5.45E-05,9.44E-06
675,-2.95E-04,2.07E-05,-1.59E-05,1.42E-04,1.57E-05,-2.63E-05,-1.69E-05,2.25E-05,-2.24E-05,1.57E-05,-1.41E-04,-3.09E-05,-4.48E-04,-5.44E-05,2.08E-05,1.42E-04,-5.05E-05,2.90E-05,-1.38E-05,-5.55E-05,9.92E-06
680,-2.92E-04,2.14E-05,-1.76E-05,1.40E-04,1.66E-05,-2.65E-05,-1.86E-05,2.32E-05,-2.13E-05,1.66E-05,-1.39E-04,-3.06E-05,-4.40E-04,-5.49E-05,2.06E-05,1.39E-04,-5.09E-05,2.91E-05,-1.37E-05,-5.61E-05,1.03E-05
685,-2.89E-04,2.18E-05,-1.89E-05,1.37E-04,1.72E-05,-2.67E-05,-2.03E-05,2.36E-05,-2.06E-05,1.71E-05,-1.37E-04,-3.03E-05,-4.33E-04,-5.51E-05,2.05E-05,1.37E-04,-5.11E-05,2.92E-05,-1.39E-05,-5.64E-05,1.07E-05
690,-2.86E-04,2.20E-05,-1.99E-05,1.36E-04,1.75E-05,-2.69E-05,-2.21E-05,2.39E-05,-2.01E-05,1.75E-05,-1.35E-04,-3.01E-05,-4.26E-04,-5.50E-05,2.06E-05,1.36E-04,-5.10E-05,2.93E-05,-1.45E-05,-5.64E-05,1.11E-05
695,-2.84E-04,2.21E-05,-2.08E-05,1.34E-04,1.77E-05,-2.70E-05,-2.37E-05,2.41E-05,-1.98E-05,1.77E-05,-1.34E-04,-2.99E-05,-4.20E-04,-5.47E-05,2.07E-05,1.34E-04,-5.06E-05,2.93E-05,-1.53E-05,-5.62E-05,1.15E-05
700,-2.81E-04,2.22E-05,-2.15E-05,1.33E-04,1.78E-05,-2.71E-05,-2.54E-05,2.42E-05,-1.96E-05,1.78E-05,-1.33E-04,-2.97E-05,-4.13E-04,-5.42E-05,2.08E-05,1.33E-04,-5.01E-05,2.94E-05,-1.62E-05,-5.58E-05,1.18E-05
705,0.422428425,0.361870928,0.112918741,-0.318712377,0.370845854,0.077292375,0.076020042,0.337475604,0.172446606,0.370851765,0.318671471,0.077749558,9.678713487,-0.280187005,0.02866646,-0.321378527,-0.269878105,-0.066124222,-0.020682989,-0.242495883,-0.135839021
710,0.507372695,-0.224248303,-0.00719978,8.71E-04,-0.224671384,-0.002020781,-0.27398161,-0.21636208,-0.060062993,-0.224671448,-8.71E-04,-0.00232433,10.00194782,0.034249225,0.061242236,0.001798749,-0.064149715,-0.001511583,-0.032513069,-0.061731432,-0.017815603
715,-0.240641806,-0.098108361,-0.001584877,0.111212768,-0.098374284,-0.002911222,-0.006188537,-0.094395764,-0.027205188,-0.098376214,-0.111235966,-0.003018231,6.906249399,0.0469632,-0.029114474,0.103884069,-0.029390737,0.040364462,0.112864828,-0.038246768,0.032347913
720,-0.123637311,0.054701896,-4.42E-04,-2.96E-04,0.054538562,7.30E-04,0.056862764,0.052531256,0.014616647,0.054532776,3.23E-04,4.87E-04,-0.262813106,-0.007901768,-0.008715115,-4.06E-04,0.010600334,1.22E-04,8.79E-04,0.010107336,0.003308526
725,-0.005379938,0.002089061,3.09E-06,-3.78E-04,0.002055696,6.77E-05,0.002927078,0.002016758,4.77E-04,0.002055779,3.65E-04,3.23E-05,-0.08402615,8.52E-04,-0.001387139,-3.13E-04,-2.16E-04,-8.98E-05,0.001290069,-2.42E-04,7.42E-05
730,-0.001758213,6.71E-04,-1.15E-06,-1.31E-04,6.60E-04,2.18E-05,8.98E-04,6.49E-04,1.50E-04,6.60E-04,1.27E-04,1.44E-05,-0.02732944,3.01E-04,-4.55E-04,-1.15E-04,-8.54E-05,-2.15E-05,4.25E-04,-9.47E-05,2.25E-05
735,-5.84E-04,2.25E-04,-4.79E-06,-5.58E-05,2.21E-04,3.69E-06,2.78E-04,2.19E-04,4.64E-05,2.21E-04,5.44E-05,4.41E-06,-0.008957763,1.05E-04,-1.50E-04,-5.22E-05,-3.35E-05,-4.94E-06,1.17E-04,-3.69E-05,4.53E-06
740,-4.38E-04,1.37E-04,-2.15E-06,-7.32E-06,1.36E-04,-8.64E-07,1.47E-04,1.33E-04,2.82E-05,1.36E-04,7.68E-06,5.61E-07,-0.002931227,3.22E-05,-5.78E-05,-1.02E-05,-6.18E-06,4.12E-06,1.63E-05,-8.19E-06,4.00E-06
745,-3.23E-04,7.47E-05,-6.26E-07,7.15E-06,7.41E-05,1.05E-07,4.84E-05,7.32E-05,1.52E-05,7.41E-05,-6.39E-06,3.14E-06,-9.50E-04,1.37E-05,-4.61E-05,6.11E-07,1.20E-06,1.13E-05,4.51E-06,-1.83E-06,9.33E-06
750,-2.42E-04,3.91E-05,1.21E-08,1.41E-05,3.90E-05,1.38E-06,-1.09E-05,3.92E-05,8.01E-06,3.91E-05,-1.35E-05,4.98E-06,-2.97E-04,7.18E-06,-4.14E-05,7.25E-06,4.39E-06,1.45E-05,-2.58E-06,1.15E-06,1.20E-05
755,-1.90E-04,1.76E-05,3.88E-07,1.57E-05,1.77E-05,1.77E-06,-4.31E-05,1.83E-05,3.21E-06,1.77E-05,-1.51E-05,5.26E-06,5.73E-05,4.86E-06,-3.15E-05,8.80E-06,4.84E-06,1.48E-05,-4.73E-06,1.35E-06,1.32E-05
760,-1.74E-04,1.24E-05,5.01E-07,1.93E-05,1.25E-05,1.62E-06,-5.25E-05,1.31E-05,2.10E-06,1.25E-05,-1.87E-05,4.39E-06,1.70E-04,1.60E-06,-3.07E-05,1.30E-05,6.93E-06,1.40E-05,-1.26E-05,3.61E-06,1.33E-05
